Gene,Value,Normalized_Value
CILP2,2000000,1000
TMEM211,2000000,1000
ZNF835,431423,215.7115
MAN1A1,431225,215.6125
STAG1,430362,215.181
CREB5,430763,215.3815
STK31,2000000,1000
RYR2,431848,215.924
NUP54,430428,215.214
ZNF804A,431413,215.7065
SYNM,2000000,1000
SNRK,430997,215.4985
PGAM1,430107,215.0535
KCNAB2,431533,215.7665
AP3B2,431109,215.5545
SLC25A21,2000000,1000
TSSK6,430481,215.2405
CACNA1A,430449,215.2245
SLC32A1,431681,215.8405
C16orf91,2000000,1000
CCDC154,2000000,1000
CTF1,430618,215.309
KIF26B,2000000,1000
DDX24,430753,215.3765
IFI27L1,2000000,1000
ADAMTS2,2000000,1000
ANKS6,430718,215.359
CRELD2,2000000,1000
ADRA1D,430391,215.1955
TSNARE1,2000000,1000
NRG2,431311,215.6555
TMCO5A,2000000,1000
RFWD3,430420,215.21
ZSCAN2,2000000,1000
KCNK9,2000000,1000
SPP2,430375,215.1875
STX18,431625,215.8125
ADAMTS17,2000000,1000
DGKI,431457,215.7285
NOS2,430181,215.0905
TIGD1,430718,215.359
ASB3,2000000,1000
C8orf37,2000000,1000
GLI3,430579,215.2895
OPCML,430561,215.2805
ZNF385A,2000000,1000
LDB2,431586,215.793
SIRPG,431688,215.844
CMTM8,2000000,1000
NPHP4,431512,215.756
GTF3C2,430564,215.282
EIF2B4,430560,215.28
SNX17,430371,215.1855
EXOSC1,430339,215.1695
ZDHHC16,431429,215.7145
PCDH15,431297,215.6485
CCDC85A,2000000,1000
ADIPOR2,431690,215.845
GPC1,430508,215.254
GATAD2A,430537,215.2685
PHF7,430474,215.237
CCDC122,2000000,1000
PBX4,432096,216.048
TYK2,430720,215.36
SPTLC1,430503,215.2515
RTN1,431193,215.5965
DHX34,431705,215.8525
LRP1B,430693,215.3465
CHRNA3,431462,215.731
ASAP1,431415,215.7075
GRIA1,431112,215.556
SLTM,430800,215.4
PPM1G,430302,215.151
ZNF513,431415,215.7075
BAP1,431091,215.5455
IMMP2L,431570,215.785
CROT,431848,215.924
SLC25A23,2000000,1000
CRB3,2000000,1000
GPC6,431562,215.781
ALAS1,431176,215.588
SPHKAP,432133,216.0665
HIST1H2AA,430532,215.266
HIST1H2BA,430061,215.0305
HIST1H2BE,430823,215.4115
MSRA,430475,215.2375
RPS6KA2,430452,215.226
FSTL4,431637,215.8185
ULBP3,2000000,1000
RPRD1A,430971,215.4855
APBA1,430458,215.229
PLEKHO1,430983,215.4915
L3MBTL2,430990,215.495
CHADL,2000000,1000
GALNT3,2000000,1000
TM6SF2,431534,215.767
NISCH,431729,215.8645
TMEM132D,2000000,1000
MPV17,431660,215.83
HIST1H4H,430751,215.3755
C18orf21,430675,215.3375
GUCY1A2,431918,215.959
NAB2,431359,215.6795
STAT6,430856,215.428
DENND1C,430718,215.359
MANEAL,2000000,1000
ROR2,431396,215.698
TLR9,432315,216.1575
NOSIP,431073,215.5365
B3GAT2,431803,215.9015
NUP50,430152,215.076
KCNAB1,430718,215.359
RAF1,430382,215.191
RERE,431543,215.7715
CHAC2,430591,215.2955
SETBP1,430423,215.2115
MBD5,431361,215.6805
UCK1,431726,215.863
UBR3,431394,215.697
MYH13,431228,215.614
PRKD3,430705,215.3525
CHMP1A,432060,216.03
ABCG2,430250,215.125
ALDH5A1,431598,215.799
BNC2,431514,215.757
ELL,431093,215.5465
FKBP8,431235,215.6175
PPP2R3A,431107,215.5535
ABCC10,431826,215.913
PLAA,431200,215.6
CPA5,2000000,1000
CPA4,431487,215.7435
KIAA0513,430713,215.3565
CACNA1I,431681,215.8405
NPL,430572,215.286
PRC1,430749,215.3745
VPS33B,430459,215.2295
PPP1R16B,431389,215.6945
TACC2,431321,215.6605
BTN3A3,431222,215.611
C21orf91,2000000,1000
NPAS3,430659,215.3295
CHRNA5,430767,215.3835
SLC29A1,430562,215.281
CD46,430924,215.462
ANO2,2000000,1000
PRRG2,2000000,1000
HPSE,431830,215.915
OSBPL10,2000000,1000
ATP6V0D2,431541,215.7705
ACTR5,431167,215.5835
NXNL2,432144,216.072
TOP3B,431205,215.6025
SNX25,2000000,1000
YRDC,430764,215.382
C1orf122,2000000,1000
HCLS1,431154,215.577
ANKRD42,430802,215.401
PPM1F,430785,215.3925
DNAJC18,431277,215.6385
EIF2AK2,430752,215.376
GPM6A,430950,215.475
ZDHHC18,431515,215.7575
EXT1,430482,215.241
ZBTB16,430603,215.3015
MRRF,430481,215.2405
SYNJ1,430181,215.0905
SLC6A6,431749,215.8745
SEC11A,430877,215.4385
CCDC90B,431269,215.6345
ACTR8,430796,215.398
TSPAN2,431130,215.565
DPP4,431153,215.5765
MTF1,432117,216.0585
SGCZ,2000000,1000
FBXO40,431096,215.548
NT5DC2,431505,215.7525
WWOX,430172,215.086
PDIA3,430228,215.114
ELL3,2000000,1000
SEMA4F,431156,215.578
VPS45,2000000,1000
CARS2,431726,215.863
ING1,430853,215.4265
WDR88,430592,215.296
SIRPB1,431754,215.877
ERC1,430326,215.163
CCDC15,430718,215.359
GTF2A2,430677,215.3385
ELP3,430768,215.384
PITPNM2,2000000,1000
Sep-03,2000000,1000
PNLIPRP1,2000000,1000
TMEM56,2000000,1000
PHF21B,2000000,1000
ASNS,430651,215.3255
MKRN2,431461,215.7305
KIAA0319,431106,215.553
UBASH3B,430869,215.4345
DNAH1,430718,215.359
TMEM19,432137,216.0685
KIAA1324L,2000000,1000
STAB1,430857,215.4285
PHF3,430379,215.1895
STRC,2000000,1000
TRIM9,431005,215.5025
ISYNA1,431830,215.915
MAPK1,429823,214.9115
HERC6,431317,215.6585
GDE1,431713,215.8565
MAP9,430718,215.359
CTNND2,431013,215.5065
ATF1,430427,215.2135
PLCL1,431063,215.5315
ACE,430718,215.359
UNC13A,430676,215.338
GPR39,2000000,1000
TTC28,431213,215.6065
SCRIB,431253,215.6265
NDUFB9,431140,215.57
MTSS1,431769,215.8845
CHRNB4,430404,215.202
PTPN5,431803,215.9015
TBL1XR1,429970,214.985
LMAN2L,2000000,1000
SERINC4,2000000,1000
SERF2,2000000,1000
ZNF395,431760,215.88
FBXO16,2000000,1000
FMO2,431241,215.6205
ACVR2B,430846,215.423
EXOG,2000000,1000
RNF165,431418,215.709
SMOC2,432148,216.074
GALNT12,430718,215.359
GNAO1,430170,215.085
AMFR,431157,215.5785
GRM7,430491,215.2455
WBP2NL,2000000,1000
SEMA3G,431503,215.7515
LPP,431415,215.7075
NOL4,431756,215.878
SMARCA5,430056,215.028
GIP,430923,215.4615
MCC,430427,215.2135
STRN,431823,215.9115
SOSTDC1,2000000,1000
PSMA4,430356,215.178
DBH,431504,215.752
CCDC149,430718,215.359
UBAP2L,430794,215.397
HAX1,430996,215.498
IL17RB,432120,216.06
CLCN3,430884,215.442
L3MBTL4,430718,215.359
HIVEP2,430819,215.4095
EP300,429783,214.8915
ETV1,430598,215.299
NRBP2,2000000,1000
KCNJ13,431568,215.784
GABBR2,430465,215.2325
STX1A,430651,215.3255
MED30,430442,215.221
PAK6,430689,215.3445
MCM9,2000000,1000
INA,430815,215.4075
LRRK2,430469,215.2345
ARSG,431046,215.523
PBX3,431413,215.7065
COL4A2,430311,215.1555
TMEM63C,2000000,1000
NGB,430548,215.274
MFAP1,430626,215.313
WDR76,430588,215.294
RP1L1,432169,216.0845
AP3D1,431733,215.8665
ZNF276,2000000,1000
HNRNPAB,430407,215.2035
RBMXL2,430858,215.429
TCF12,430218,215.109
CD276,2000000,1000
MPHOSPH10,430708,215.354
XPNPEP3,430418,215.209
