Gene	Module	kME
NLRC3	P1_I6_M1	0.81
SDHAF2	P1_I6_M4	0.86
DDB1	P1_I6_M7	0.9
VWCE	P1_I6_M1	0.96
SLC3A2	P1_I6_M7	0.93
HRASLS5	P1_I6_M2	0.99
TTC21A	P1_I6_M2	0.94
RPSA	P1_I6_M14	0.93
ULK4	P1_I6_M2	0.9
SAC3D1	P1_I6_M1	0.96
MAJIN	P1_I6_M2	0.95
CCDC88B	P1_I6_M5	0.9
PBK	P1_I6_M2	0.97
COPS6	P1_I6_M4	0.81
ANKS3	P1_I6_M1	0.95
KIAA1586	P1_I6_M1	0.86
OR1F1	P1_I6_M1	0.99
OR2B2	P1_I6_M1	0.99
SETD5	P1_I6_M4	0.92
VASN	P1_I6_M1	0.86
HIST3H3	P1_I6_M1	1.0
THAP9	P1_I6_M1	0.95
OR2C1	P1_I6_M1	0.99
RNF187	P1_I6_M3	0.83
ZCCHC4	P1_I6_M1	0.95
PTGDR	P1_I6_M1	0.92
KCNV2	P1_I6_M1	0.99
PTF1A	P1_I6_M1	0.84
KIF5C	P1_I6_M3	0.97
BMI1	P1_I6_M4	0.88
MPLKIP	P1_I6_M1	0.99
ACOX2	P1_I6_M6	0.87
FAM107A	P1_I6_M3	0.93
MOBP	P1_I6_M3	0.99
CX3CR1	P1_I6_M3	0.93
C8orf22	P1_I6_M8	0.97
XIRP1	P1_I6_M16	0.97
INSM2	P1_I6_M1	0.99
SCN11A	P1_I6_M1	0.98
MLKL	P1_I6_M5	0.82
RFWD3	P1_I6_M2	0.83
MTNR1A	P1_I6_M1	0.99
KCNG4	P1_I6_M1	0.99
RHOH	P1_I6_M5	0.91
HR	P1_I6_M10	0.95
TXNDC2	P1_I6_M2	0.98
LGI3	P1_I6_M3	0.91
PHYHIP	P1_I6_M3	0.94
CCDC110	P1_I6_M2	0.97
MTCL1	P1_I6_M1	0.87
GBX2	P1_I6_M1	0.99
HFE2	P1_I6_M8	0.86
SCGB1D1	P1_I6_M1	0.99
HEXIM2	P1_I6_M2	0.91
MYL1	P1_I6_M8	0.96
TRAPPC11	P1_I6_M4	0.93
GFRA2	P1_I6_M1	0.88
SNRNP48	P1_I6_M1	0.91
CRYGA	P1_I6_M1	0.99
DYNLRB2	P1_I6_M2	0.9
TMUB2	P1_I6_M4	0.9
ADAM29	P1_I6_M2	0.99
ZSWIM1	P1_I6_M1	0.94
ADAM18	P1_I6_M1	0.98
GDNF	P1_I6_M1	0.95
WFDC13	P1_I6_M11	0.99
ZNF30	P1_I6_M1	0.99
UGT3A2	P1_I6_M1	0.93
KCTD19	P1_I6_M2	0.94
SLC16A4	P1_I6_M12	0.92
IL7R	P1_I6_M5	0.86
LRP1B	P1_I6_M1	0.87
WFDC12	P1_I6_M10	0.94
DNAJC21	P1_I6_M2	0.89
FAM178B	P1_I6_M1	0.83
TSPY2	P1_I6_M1	0.94
GSTM4	P1_I6_M9	0.85
CXXC4	P1_I6_M1	0.96
SHOX2	P1_I6_M1	0.99
CHTF8	P1_I6_M4	0.82
LCMT2	P1_I6_M1	0.86
IL12A	P1_I6_M1	0.98
ZBTB49	P1_I6_M1	0.98
OR13J1	P1_I6_M1	0.99
HTR1E	P1_I6_M1	0.98
FSTL5	P1_I6_M1	0.88
SOX14	P1_I6_M1	0.99
USP39	P1_I6_M4	0.82
BTNL3	P1_I6_M9	0.98
LRRC28	P1_I6_M2	0.85
PLA2G4F	P1_I6_M10	0.96
ENHO	P1_I6_M3	0.99
INPP5D	P1_I6_M5	0.97
CTRB1	P1_I6_M18	1.0
CTRB2	P1_I6_M18	1.0
TRIM49	P1_I6_M1	0.99
SPRY3	P1_I6_M1	0.99
TM4SF20	P1_I6_M9	0.92
MFF	P1_I6_M2	0.9
JMJD7-PLA2G4B	P1_I6_M1	0.99
CPLX1	P1_I6_M3	0.97
E2F6	P1_I6_M1	0.96
FEM1B	P1_I6_M2	0.83
MFSD7	P1_I6_M1	0.86
KLK7	P1_I6_M10	0.97
UPF3A	P1_I6_M2	0.85
ZBBX	P1_I6_M2	0.9
ACTBL2	P1_I6_M1	0.99
C8orf46	P1_I6_M3	0.97
HSPBAP1	P1_I6_M1	0.85
CSNK1G1	P1_I6_M2	0.98
ARMC4	P1_I6_M2	0.84
ATF5	P1_I6_M6	0.89
GOT1L1	P1_I6_M1	0.86
GSG1L	P1_I6_M1	0.92
NSMCE1	P1_I6_M4	0.86
CCDC126	P1_I6_M2	0.97
IL13	P1_I6_M1	0.88
OR10G3	P1_I6_M1	0.99
RAB3B	P1_I6_M1	0.85
OR6F1	P1_I6_M1	1.0
CD2BP2	P1_I6_M4	0.86
GCSAML	P1_I6_M1	0.95
SH3TC2	P1_I6_M1	0.98
CXCL11	P1_I6_M1	0.84
HSPB3	P1_I6_M16	1.0
STK32A	P1_I6_M1	0.81
IL1RAPL1	P1_I6_M1	0.99
P2RY12	P1_I6_M3	0.97
OR5AU1	P1_I6_M1	0.99
KIAA1024	P1_I6_M1	0.91
UMOD	P1_I6_M12	0.97
GP2	P1_I6_M18	1.0
SNUPN	P1_I6_M4	0.85
SIN3A	P1_I6_M4	0.91
ARL13B	P1_I6_M1	0.93
RNASE2	P1_I6_M13	0.97
ELSPBP1	P1_I6_M11	0.99
RNASE3	P1_I6_M13	0.97
RSPH10B2	P1_I6_M2	0.89
KCNK9	P1_I6_M1	0.98
CXCL8	P1_I6_M13	0.96
SCN9A	P1_I6_M1	0.95
COL22A1	P1_I6_M1	0.94
CD52	P1_I6_M11	0.98
SPRR1B	P1_I6_M15	0.99
SPRR1A	P1_I6_M15	0.98
OR4K14	P1_I6_M1	0.99
OR4K15	P1_I6_M1	0.99
TM2D2	P1_I6_M4	0.85
GPR183	P1_I6_M5	0.81
CRCT1	P1_I6_M10	0.82
METTL15	P1_I6_M1	0.86
ZNF280A	P1_I6_M1	0.99
MUC15	P1_I6_M11	0.99
CT55	P1_I6_M1	0.99
GJB1	P1_I6_M6	0.87
INO80E	P1_I6_M4	0.86
BNC1	P1_I6_M2	0.94
DFFB	P1_I6_M1	0.99
CKAP2L	P1_I6_M1	0.92
PROKR1	P1_I6_M1	0.98
APLF	P1_I6_M1	0.99
HIC2	P1_I6_M1	0.96
DRD5	P1_I6_M1	0.99
BUB1	P1_I6_M2	0.91
LRRC45	P1_I6_M1	0.95
CHRNA5	P1_I6_M1	0.95
MT1B	P1_I6_M1	0.98
AGPAT2	P1_I6_M9	0.93
GP9	P1_I6_M1	0.99
ACTRT2	P1_I6_M2	0.99
DCXR	P1_I6_M6	0.87
NRG4	P1_I6_M1	0.99
TMEM266	P1_I6_M1	0.99
TAS2R1	P1_I6_M1	0.95
LINGO1	P1_I6_M3	0.99
PRY	P1_I6_M1	0.99
RBMY1F	P1_I6_M1	0.99
PRY2	P1_I6_M1	0.99
CSGALNACT2	P1_I6_M13	0.85
TACR3	P1_I6_M1	0.99
GSX1	P1_I6_M1	0.99
ONECUT1	P1_I6_M1	0.94
CTNND2	P1_I6_M3	0.99
MUC17	P1_I6_M9	0.89
AHSP	P1_I6_M13	0.97
WNT10B	P1_I6_M1	0.95
CALML6	P1_I6_M8	0.84
MUC3A	P1_I6_M9	0.91
ITGAM	P1_I6_M13	0.98
PYDC1	P1_I6_M1	0.98
OTUD3	P1_I6_M1	0.86
OTUD7A	P1_I6_M1	0.94
ZNF764	P1_I6_M1	0.98
HSFY2	P1_I6_M1	0.83
ZNF747	P1_I6_M1	0.89
TMEM42	P1_I6_M1	0.86
PUSL1	P1_I6_M1	0.96
ZNF35	P1_I6_M1	0.98
TIGD4	P1_I6_M1	0.98
IFFO2	P1_I6_M10	0.87
MYO7B	P1_I6_M9	0.97
MYRIP	P1_I6_M1	0.81
ALCAM	P1_I6_M7	0.94
YWHAG	P1_I6_M3	0.93
CNTROB	P1_I6_M2	0.85
ZPLD1	P1_I6_M1	0.99
KCNAB3	P1_I6_M1	0.89
FAM153A	P1_I6_M1	0.94
HMP19	P1_I6_M3	0.98
SPDYE5	P1_I6_M1	0.99
SERPINA6	P1_I6_M6	0.99
ZNF778	P1_I6_M1	0.91
FOXD4	P1_I6_M1	0.99
GPR25	P1_I6_M1	0.99
UBE2E1	P1_I6_M4	0.82
CCDC144A	P1_I6_M1	0.91
VGLL2	P1_I6_M8	0.9
HOXD12	P1_I6_M1	0.99
GYPA	P1_I6_M13	0.97
NANP	P1_I6_M1	0.99
ANKK1	P1_I6_M1	0.99
ADRA1B	P1_I6_M1	0.82
ADPRM	P1_I6_M1	0.84
USP50	P1_I6_M1	1.0
USP47	P1_I6_M7	0.87
PDCD6IP	P1_I6_M4	0.84
MRGPRX1	P1_I6_M1	0.99
ZNF212	P1_I6_M1	0.83
FAM161A	P1_I6_M1	0.95
FAXDC2	P1_I6_M7	0.95
C7orf33	P1_I6_M1	0.99
CNGB3	P1_I6_M1	0.99
SLN	P1_I6_M8	0.97
ELP5	P1_I6_M2	0.91
FRMPD2	P1_I6_M1	0.99
PRDM10	P1_I6_M1	0.97
CST5	P1_I6_M19	1.0
CST2	P1_I6_M19	1.0
CST1	P1_I6_M19	1.0
SP7	P1_I6_M1	1.0
TCAF2	P1_I6_M1	0.93
SEMA3E	P1_I6_M1	0.91
DCLK2	P1_I6_M3	0.99
ZNF804A	P1_I6_M1	0.98
TMEM182	P1_I6_M16	0.88
KRT8	P1_I6_M9	0.81
KRT78	P1_I6_M15	0.99
ADORA2B	P1_I6_M1	0.89
SDR9C7	P1_I6_M10	0.94
KRT86	P1_I6_M1	0.98
HARS	P1_I6_M4	0.81
KRT75	P1_I6_M1	0.99
DNAJC18	P1_I6_M2	0.97
KRT6C	P1_I6_M15	0.98
RIOX1	P1_I6_M1	0.9
SPATA24	P1_I6_M2	0.96
RALGAPB	P1_I6_M4	0.89
KRT4	P1_I6_M15	0.98
KRT74	P1_I6_M1	0.97
HSD17B13	P1_I6_M6	0.99
COX7B2	P1_I6_M2	0.98
KRT83	P1_I6_M1	0.99
TMC7	P1_I6_M1	0.85
IRX1	P1_I6_M1	0.93
DLGAP1	P1_I6_M3	0.98
IRF2BP1	P1_I6_M1	0.85
OR9K2	P1_I6_M1	0.99
FAM71B	P1_I6_M2	0.93
SLC26A5	P1_I6_M1	0.99
GTSF1	P1_I6_M2	0.95
ATF7	P1_I6_M4	0.8
MURC	P1_I6_M8	0.99
OR10A3	P1_I6_M1	0.99
ZNF296	P1_I6_M1	0.97
HOXB9	P1_I6_M11	0.92
SYT9	P1_I6_M1	0.97
RBMXL2	P1_I6_M2	0.97
GPR37	P1_I6_M3	0.94
TPD52L3	P1_I6_M2	0.96
OR10A4	P1_I6_M1	0.99
SDR16C5	P1_I6_M10	0.82
DYDC1	P1_I6_M2	0.97
OR10A2	P1_I6_M1	0.99
LMOD2	P1_I6_M16	0.96
BFSP2	P1_I6_M1	0.99
FSHR	P1_I6_M1	0.99
USP32	P1_I6_M2	0.94
CEL	P1_I6_M18	1.0
PPM1D	P1_I6_M1	0.95
PLA2G1B	P1_I6_M18	1.0
GSTA4	P1_I6_M17	0.9
NDUFA3	P1_I6_M1	0.85
OR7G3	P1_I6_M1	0.99
TANC2	P1_I6_M7	0.89
OR7G2	P1_I6_M1	0.99
TEX13B	P1_I6_M1	0.99
OR1M1	P1_I6_M1	0.99
NCBP2L	P1_I6_M1	0.99
DNAJC24	P1_I6_M1	0.89
PGK2	P1_I6_M2	0.95
OR8B12	P1_I6_M1	0.99
DCDC1	P1_I6_M1	0.97
HAS2	P1_I6_M1	0.83
OR4D5	P1_I6_M1	0.99
LRRC8E	P1_I6_M1	0.89
PKIA	P1_I6_M8	0.93
XKR6	P1_I6_M1	1.0
PATE1	P1_I6_M11	0.98
OR13H1	P1_I6_M1	0.99
C8orf74	P1_I6_M1	0.95
ALK	P1_I6_M1	1.0
KYAT1	P1_I6_M1	0.86
OBP2B	P1_I6_M1	0.99
HSFX1	P1_I6_M1	0.98
NRTN	P1_I6_M1	0.97
KCNMB3	P1_I6_M1	0.98
KCNG3	P1_I6_M1	0.99
ATP6V0E2	P1_I6_M3	0.91
PRKCE	P1_I6_M3	0.87
OR2K2	P1_I6_M1	0.99
RLN3	P1_I6_M1	0.99
TADA3	P1_I6_M4	0.81
NAIF1	P1_I6_M1	1.0
OR2M4	P1_I6_M1	0.99
MUC7	P1_I6_M19	1.0
SMR3B	P1_I6_M19	1.0
CLDN20	P1_I6_M1	0.99
UGT2B7	P1_I6_M12	0.89
LRG1	P1_I6_M6	0.97
NPTX1	P1_I6_M3	0.99
KCNK3	P1_I6_M17	0.93
CHD7	P1_I6_M1	0.84
ESCO2	P1_I6_M1	0.87
KRT15	P1_I6_M10	0.84
KRT38	P1_I6_M1	0.99
TPPP	P1_I6_M3	0.98
KRTAP4-4	P1_I6_M1	0.99
KRT13	P1_I6_M15	0.98
KRT9	P1_I6_M1	0.99
XAGE5	P1_I6_M1	1.0
GLOD5	P1_I6_M1	0.82
KSR2	P1_I6_M1	0.99
KRT27	P1_I6_M1	0.99
CDK5R2	P1_I6_M3	0.95
DSEL	P1_I6_M1	0.98
OR1L6	P1_I6_M1	0.99
DLK2	P1_I6_M1	0.85
SPACA5B	P1_I6_M1	0.91
OR1L3	P1_I6_M1	0.99
SPACA5	P1_I6_M1	0.94
RSL1D1	P1_I6_M14	0.89
MROH2B	P1_I6_M2	0.95
OR1L8	P1_I6_M1	0.99
OR1N2	P1_I6_M1	0.99
COL24A1	P1_I6_M1	0.98
OR1N1	P1_I6_M1	0.99
NEUROD2	P1_I6_M1	0.91
OTP	P1_I6_M1	0.99
FGG	P1_I6_M6	0.99
FGA	P1_I6_M6	0.99
OR2AT4	P1_I6_M1	0.99
FGB	P1_I6_M6	0.99
PLRG1	P1_I6_M4	0.89
ZNF584	P1_I6_M1	0.92
DSCAM	P1_I6_M1	0.94
NMUR1	P1_I6_M1	0.97
CLSTN1	P1_I6_M3	0.84
PIK3CD	P1_I6_M5	0.96
PTCRA	P1_I6_M1	0.98
ENC1	P1_I6_M3	0.96
BPTF	P1_I6_M4	0.9
S100Z	P1_I6_M1	0.98
ZIK1	P1_I6_M1	0.89
GPR82	P1_I6_M1	0.96
PLEKHG5	P1_I6_M10	0.93
LKAAEAR1	P1_I6_M1	1.0
RGS19	P1_I6_M5	0.93
DEFB4A	P1_I6_M1	0.87
HDAC3	P1_I6_M4	0.85
PAH	P1_I6_M6	0.84
SPATA5L1	P1_I6_M1	0.96
SYCE1	P1_I6_M2	0.98
NXNL1	P1_I6_M1	0.99
RASGRP4	P1_I6_M1	0.87
NHLH1	P1_I6_M1	0.99
SLFNL1	P1_I6_M2	0.96
UTF1	P1_I6_M1	0.99
KNDC1	P1_I6_M1	0.83
METTL18	P1_I6_M7	0.87
PCDHB1	P1_I6_M1	0.99
ZNF540	P1_I6_M1	0.86
ANGPTL7	P1_I6_M1	0.92
FBXL14	P1_I6_M1	0.81
EXOSC10	P1_I6_M4	0.87
ZNF570	P1_I6_M1	0.95
FAM90A1	P1_I6_M1	0.94
IFNB1	P1_I6_M1	0.99
RPS21	P1_I6_M14	0.92
RPS7	P1_I6_M14	0.96
PRND	P1_I6_M2	0.98
RNASEH1	P1_I6_M1	0.91
PRNP	P1_I6_M3	0.82
KLF17	P1_I6_M1	0.98
ADRA1D	P1_I6_M1	0.98
AQP4	P1_I6_M3	0.93
FBXW10	P1_I6_M1	0.9
OR10H3	P1_I6_M1	0.99
OR10H2	P1_I6_M1	0.99
OR52A5	P1_I6_M1	0.99
CYP4F22	P1_I6_M10	0.87
FOXB1	P1_I6_M1	0.99
ZNF57	P1_I6_M2	0.93
C11orf40	P1_I6_M1	0.99
LDHAL6B	P1_I6_M2	0.99
SYNPO	P1_I6_M8	0.93
ZNF556	P1_I6_M1	0.97
MAL	P1_I6_M15	0.97
ZNF554	P1_I6_M1	0.97
RAB33B	P1_I6_M1	0.86
ANKRD20A4	P1_I6_M1	0.99
REG3A	P1_I6_M9	0.93
GAP43	P1_I6_M3	0.98
REG1B	P1_I6_M9	0.87
EPHX4	P1_I6_M1	0.92
SERF1A	P1_I6_M1	0.93
LRRC15	P1_I6_M1	0.95
TEX37	P1_I6_M2	0.99
MOB3A	P1_I6_M5	0.91
SLC9C1	P1_I6_M1	0.94
OR1A1	P1_I6_M1	0.99
OR1A2	P1_I6_M1	0.99
OR8I2	P1_I6_M1	0.99
LCE1D	P1_I6_M10	0.98
MTBP	P1_I6_M1	0.97
TEFM	P1_I6_M1	0.98
ISG20	P1_I6_M5	0.84
OR4C11	P1_I6_M1	0.99
OR8U1	P1_I6_M1	0.99
GPR22	P1_I6_M1	0.97
AZU1	P1_I6_M13	0.96
C5orf34	P1_I6_M1	0.98
NEGR1	P1_I6_M3	0.91
ZNF131	P1_I6_M2	0.83
HINFP	P1_I6_M1	0.9
CDY1	P1_I6_M1	0.99
OR10V1	P1_I6_M1	0.99
TP53RK	P1_I6_M1	0.82
B3GALT1	P1_I6_M1	0.97
OR5A1	P1_I6_M1	0.99
CLEC12A	P1_I6_M13	0.85
OR5A2	P1_I6_M1	0.99
ALG14	P1_I6_M1	0.99
STARD5	P1_I6_M1	0.89
IL16	P1_I6_M5	0.94
ABCG4	P1_I6_M1	0.98
CDY1B	P1_I6_M1	0.99
CFAP53	P1_I6_M2	0.95
OR5B12	P1_I6_M1	0.99
OR5B2	P1_I6_M1	0.99
MCRIP2	P1_I6_M1	0.84
OR9I1	P1_I6_M1	0.99
ARNT2	P1_I6_M3	0.99
PRSS27	P1_I6_M15	0.99
MYOZ2	P1_I6_M16	0.98
DNAJB7	P1_I6_M1	0.96
EFCAB3	P1_I6_M1	0.97
TTC36	P1_I6_M6	0.92
RSPH9	P1_I6_M1	0.9
OR9G4	P1_I6_M1	0.99
IL17D	P1_I6_M3	0.9
OR5AP2	P1_I6_M1	0.99
ZNF24	P1_I6_M4	0.9
HSFY1	P1_I6_M1	0.82
RAB40A	P1_I6_M1	0.92
C2orf54	P1_I6_M15	0.94
AGXT	P1_I6_M6	0.99
OR8J1	P1_I6_M1	0.99
OR5T3	P1_I6_M1	0.99
ACOT12	P1_I6_M6	0.91
FIBP	P1_I6_M4	0.85
OR10H5	P1_I6_M1	0.99
BANP	P1_I6_M1	0.83
FAM170B	P1_I6_M1	0.98
NIPAL4	P1_I6_M10	0.92
SNTG2	P1_I6_M1	0.99
FNDC9	P1_I6_M1	0.84
OR10AD1	P1_I6_M1	0.99
AGAP5	P1_I6_M1	0.95
WASHC2C	P1_I6_M4	0.85
ZFAND4	P1_I6_M2	0.99
THEMIS	P1_I6_M1	0.94
MOS	P1_I6_M1	0.99
ZNF738	P1_I6_M1	0.88
MS4A10	P1_I6_M9	0.97
FAM71D	P1_I6_M1	0.83
FUT10	P1_I6_M1	0.95
LRRC20	P1_I6_M8	0.98
PURG	P1_I6_M1	0.98
TMEM217	P1_I6_M1	0.94
OR4D9	P1_I6_M1	0.99
COL6A5	P1_I6_M1	0.96
NAA16	P1_I6_M1	0.87
OR5B3	P1_I6_M1	0.99
OR10W1	P1_I6_M1	0.99
HOXC5	P1_I6_M1	0.97
RAB37	P1_I6_M5	0.88
SNX32	P1_I6_M1	0.98
RPL38	P1_I6_M14	0.86
RARG	P1_I6_M10	0.9
CES2	P1_I6_M9	0.94
PDP2	P1_I6_M1	0.86
KRT2	P1_I6_M10	0.95
METAP1D	P1_I6_M1	0.96
MYEOV	P1_I6_M1	0.91
ANKRD13D	P1_I6_M13	0.81
MRGPRD	P1_I6_M1	0.99
SLC22A13	P1_I6_M1	0.94
ADH6	P1_I6_M6	0.99
XKR3	P1_I6_M1	0.93
FRG2C	P1_I6_M1	0.99
KAT5	P1_I6_M4	0.91
SH3RF3	P1_I6_M1	0.93
ARPP21	P1_I6_M3	0.97
CCDC96	P1_I6_M2	0.97
GRK2	P1_I6_M5	0.82
EVC2	P1_I6_M1	0.94
FAM222B	P1_I6_M2	0.93
1-Dec	P1_I6_M1	0.99
RXFP4	P1_I6_M1	0.98
ACSM6	P1_I6_M1	0.99
ADCK5	P1_I6_M1	0.93
ADAMTS20	P1_I6_M1	0.99
PARP14	P1_I6_M5	0.84
PARP15	P1_I6_M5	0.97
ABCD2	P1_I6_M1	0.93
MAB21L3	P1_I6_M1	0.94
MFSD4B	P1_I6_M1	0.99
SYT12	P1_I6_M7	0.96
C11orf86	P1_I6_M9	0.99
LIPM	P1_I6_M10	0.95
GPR151	P1_I6_M1	0.99
DMRT2	P1_I6_M7	0.95
ZNF483	P1_I6_M1	0.88
SLC2A14	P1_I6_M2	0.98
GPR137	P1_I6_M2	0.94
ZNF449	P1_I6_M1	0.86
OR10K1	P1_I6_M1	0.99
GPR148	P1_I6_M1	0.99
STOX2	P1_I6_M1	0.84
CST9	P1_I6_M1	0.99
KCNK7	P1_I6_M10	0.96
SFT2D3	P1_I6_M1	0.89
RP11-330H6.5	P1_I6_M1	0.98
IQCF1	P1_I6_M2	0.98
GLIPR1L1	P1_I6_M2	0.99
INSM1	P1_I6_M1	0.93
CCDC36	P1_I6_M2	0.97
MINOS1	P1_I6_M1	0.81
TMEM196	P1_I6_M1	0.96
RNF26	P1_I6_M4	0.85
RNASE11	P1_I6_M11	0.98
TNFRSF10D	P1_I6_M1	0.86
MST1	P1_I6_M6	0.93
C2orf70	P1_I6_M1	0.86
ADGRF3	P1_I6_M1	0.99
NLRP13	P1_I6_M1	0.99
XCR1	P1_I6_M1	0.89
CCR9	P1_I6_M1	0.97
SULT1B1	P1_I6_M9	0.9
UGT2A1	P1_I6_M1	0.94
SCAI	P1_I6_M1	0.95
GPRC6A	P1_I6_M1	0.99
NMNAT1	P1_I6_M1	0.88
LRFN4	P1_I6_M1	0.92
TRAPPC3L	P1_I6_M1	0.97
HSPB7	P1_I6_M16	0.98
TAS1R1	P1_I6_M1	0.99
HES3	P1_I6_M1	0.99
SPDYE2B	P1_I6_M1	0.99
OR1L1	P1_I6_M1	0.99
CXorf23	P1_I6_M1	0.9
PSMD1	P1_I6_M7	0.93
ADGRG2	P1_I6_M11	0.98
SPATA3	P1_I6_M2	0.98
MUC13	P1_I6_M9	0.92
SUSD5	P1_I6_M1	0.89
C1orf100	P1_I6_M2	0.99
CD7	P1_I6_M5	0.94
TOPAZ1	P1_I6_M1	0.99
CNP	P1_I6_M3	0.96
JUP	P1_I6_M10	0.88
HAP1	P1_I6_M1	0.88
TIGD3	P1_I6_M1	0.99
KCNH6	P1_I6_M1	0.95
10-Mar	P1_I6_M2	0.98
PHOSPHO1	P1_I6_M2	0.85
GPR160	P1_I6_M7	0.86
CBX2	P1_I6_M1	0.94
KRT28	P1_I6_M1	0.99
RBM4B	P1_I6_M4	0.83
3-Mar	P1_I6_M1	0.92
SWSAP1	P1_I6_M1	0.98
RBM4	P1_I6_M4	0.85
XXYLT1	P1_I6_M1	0.81
UBXN2A	P1_I6_M1	0.92
RAX2	P1_I6_M1	0.99
LRRC63	P1_I6_M1	1.0
TCAP	P1_I6_M8	0.96
CEP19	P1_I6_M1	0.9
SPERT	P1_I6_M2	0.97
FAM46D	P1_I6_M1	0.99
C9orf131	P1_I6_M2	0.99
C16orf91	P1_I6_M1	0.9
TLR10	P1_I6_M5	0.91
TLR1	P1_I6_M5	0.86
FAM53A	P1_I6_M1	0.89
NWD2	P1_I6_M1	0.98
ZDHHC24	P1_I6_M1	0.93
CTU2	P1_I6_M1	0.96
C12orf66	P1_I6_M1	0.92
ARL13A	P1_I6_M1	0.98
PRPF8	P1_I6_M4	0.89
DDX23	P1_I6_M4	0.86
ZNF80	P1_I6_M1	0.97
ZNHIT2	P1_I6_M1	0.88
EVX2	P1_I6_M1	0.99
TNK1	P1_I6_M1	0.96
DIRC1	P1_I6_M1	0.99
SLC16A11	P1_I6_M1	0.91
GLIS1	P1_I6_M1	0.94
OR2Y1	P1_I6_M1	0.99
CHRNA9	P1_I6_M1	0.99
SLC6A19	P1_I6_M9	0.91
C11orf45	P1_I6_M1	0.96
EXO1	P1_I6_M1	0.89
TRHR	P1_I6_M1	0.99
ABRA	P1_I6_M8	0.92
ATP2A2	P1_I6_M8	0.9
ZWILCH	P1_I6_M2	0.98
RPL4	P1_I6_M14	0.93
STARD6	P1_I6_M2	0.97
GOLGA6L2	P1_I6_M2	0.94
VWC2L	P1_I6_M1	0.99
C12orf76	P1_I6_M3	0.94
CNTNAP2	P1_I6_M1	0.88
GALNTL6	P1_I6_M1	0.99
LINGO2	P1_I6_M1	0.87
IGDCC3	P1_I6_M1	0.89
TTC9B	P1_I6_M3	0.96
MYO1H	P1_I6_M1	1.0
TMEM81	P1_I6_M1	0.99
KLK15	P1_I6_M1	0.98
IL20RB	P1_I6_M10	0.98
NPAS4	P1_I6_M1	0.99
ZNF497	P1_I6_M1	0.97
TRAM1L1	P1_I6_M1	0.87
UGT8	P1_I6_M3	0.86
KY	P1_I6_M1	0.88
OR7D4	P1_I6_M1	0.99
BRSK2	P1_I6_M3	0.92
B4GAT1	P1_I6_M3	0.95
LARP7	P1_I6_M4	0.86
FGFBP3	P1_I6_M1	0.87
PABPC5	P1_I6_M1	0.89
RPL15	P1_I6_M14	0.97
C4orf32	P1_I6_M1	0.87
SRP72	P1_I6_M4	0.85
PCP2	P1_I6_M2	0.98
RIN1	P1_I6_M1	0.84
C4orf26	P1_I6_M1	0.98
CEP135	P1_I6_M1	0.84
PDZK1	P1_I6_M12	0.97
ADGRE1	P1_I6_M1	0.8
PDE12	P1_I6_M1	0.83
GLMN	P1_I6_M1	0.87
DNAH12	P1_I6_M1	0.87
CNIH2	P1_I6_M3	0.95
AMY1B	P1_I6_M19	1.0
NLRP6	P1_I6_M9	0.93
RSRC1	P1_I6_M4	0.87
CATSPERD	P1_I6_M1	0.92
OR9G1	P1_I6_M1	0.99
C3orf33	P1_I6_M1	0.82
OR5M3	P1_I6_M1	0.99
ASPHD1	P1_I6_M3	0.93
KCTD13	P1_I6_M1	0.91
AMZ1	P1_I6_M1	0.99
GPR149	P1_I6_M1	0.99
FUT1	P1_I6_M1	0.95
DHX36	P1_I6_M4	0.87
OR5J2	P1_I6_M1	0.99
ZIC4	P1_I6_M1	0.99
OR10AG1	P1_I6_M1	0.99
OR4S2	P1_I6_M1	0.99
FBXW8	P1_I6_M1	0.83
CA5A	P1_I6_M1	0.99
SLC22A1	P1_I6_M6	1.0
TEX36	P1_I6_M2	0.97
ZDHHC14	P1_I6_M1	0.88
DSG4	P1_I6_M1	0.99
GK5	P1_I6_M1	0.84
VCPIP1	P1_I6_M1	0.86
RTP1	P1_I6_M1	0.99
SPSB4	P1_I6_M1	0.99
TRAF6	P1_I6_M1	0.82
ZNF654	P1_I6_M1	0.91
TVP23C	P1_I6_M1	0.92
WFDC5	P1_I6_M10	0.96
OR2T1	P1_I6_M1	0.99
CADM2	P1_I6_M3	0.99
ABO	P1_I6_M1	0.81
FAM182B	P1_I6_M1	0.94
PPM1E	P1_I6_M1	0.83
FAM131A	P1_I6_M3	0.98
INHBC	P1_I6_M6	0.97
PCCA	P1_I6_M11	0.91
HIGD2B	P1_I6_M1	0.99
NPPA	P1_I6_M16	0.95
ZNF408	P1_I6_M1	0.96
GAL3ST3	P1_I6_M1	0.95
C1orf127	P1_I6_M1	0.97
CHST1	P1_I6_M3	0.9
VWA3A	P1_I6_M1	0.95
CENPS	P1_I6_M2	0.93
CATSPER1	P1_I6_M1	0.87
ANKS4B	P1_I6_M1	0.83
CST6	P1_I6_M10	0.97
ZNF519	P1_I6_M1	0.99
PROP1	P1_I6_M1	0.99
APOF	P1_I6_M6	1.0
CHRNA7	P1_I6_M1	0.9
NRIP3	P1_I6_M2	0.85
EIF1AD	P1_I6_M4	0.83
SMAD2	P1_I6_M4	0.82
EIF3F	P1_I6_M14	0.88
OR10P1	P1_I6_M1	0.99
ARL10	P1_I6_M1	0.86
