Gene	Module	kME
TMEM174	P1_I1_M19	0.98
CARTPT	P1_I1_M23	0.98
ANKRA2	P1_I1_M6	0.85
UBLCP1	P1_I1_M4	0.8
FAM170A	P1_I1_M3	0.98
KLKB1	P1_I1_M9	1.0
TERT	P1_I1_M1	0.99
SLC6A18	P1_I1_M1	0.96
FOXQ1	P1_I1_M29	0.89
ADGRF2	P1_I1_M1	0.99
IL3	P1_I1_M1	0.99
CSF2	P1_I1_M1	0.99
8-Sep	P1_I1_M5	0.91
SHROOM1	P1_I1_M27	0.87
GDF9	P1_I1_M1	0.93
UQCRQ	P1_I1_M24	0.8
LEAP2	P1_I1_M9	0.96
GJB7	P1_I1_M1	0.94
GRIK2	P1_I1_M1	0.82
MB21D1	P1_I1_M1	0.91
FABP7	P1_I1_M5	0.94
TLX3	P1_I1_M1	0.99
TXLNB	P1_I1_M11	0.95
FAM26D	P1_I1_M15	0.84
T	P1_I1_M1	0.96
SAMD3	P1_I1_M1	0.87
IL22RA2	P1_I1_M1	0.98
DACT2	P1_I1_M1	0.84
C7orf72	P1_I1_M1	0.99
STXBP5	P1_I1_M8	0.92
HIST1H2AA	P1_I1_M3	0.97
IL31RA	P1_I1_M1	0.99
ANKRD55	P1_I1_M3	0.97
RAET1E	P1_I1_M20	0.95
TBX20	P1_I1_M33	0.97
KIAA0895	P1_I1_M2	0.85
STK17A	P1_I1_M7	0.9
SAP30L	P1_I1_M6	0.89
RPS14	P1_I1_M21	0.94
HCN1	P1_I1_M1	0.99
MYOZ3	P1_I1_M11	0.98
NEUROD6	P1_I1_M1	0.88
BMT2	P1_I1_M1	0.85
GPR85	P1_I1_M1	0.84
SLU7	P1_I1_M4	0.83
BMPER	P1_I1_M1	0.91
KIF6	P1_I1_M1	0.95
ZNF12	P1_I1_M6	0.88
SLC29A4	P1_I1_M1	0.87
C7orf62	P1_I1_M2	0.96
STEAP1	P1_I1_M27	0.9
SP8	P1_I1_M1	0.95
USP49	P1_I1_M1	0.96
IQUB	P1_I1_M2	0.98
HEY1	P1_I1_M5	0.94
FABP5	P1_I1_M20	0.95
SHH	P1_I1_M1	0.8
TAGAP	P1_I1_M14	0.86
SLC13A4	P1_I1_M15	0.97
PGAM2	P1_I1_M11	0.96
SLC35G3	P1_I1_M1	0.99
CTSB	P1_I1_M22	0.86
ADCY1	P1_I1_M5	0.89
C8orf48	P1_I1_M1	0.93
SUN3	P1_I1_M2	0.98
C7orf57	P1_I1_M17	0.89
HNF4G	P1_I1_M12	0.98
SLC30A8	P1_I1_M1	0.88
TNFRSF11B	P1_I1_M22	0.95
PHKG1	P1_I1_M11	0.99
EN2	P1_I1_M1	0.99
KCNV1	P1_I1_M1	0.84
CSMD3	P1_I1_M1	0.99
ORC5	P1_I1_M6	0.83
DEFA5	P1_I1_M12	0.9
DEFA4	P1_I1_M14	0.89
DEFA6	P1_I1_M12	0.9
OSGIN2	P1_I1_M8	0.88
DEFB1	P1_I1_M19	0.88
TMEM74	P1_I1_M1	0.98
GPER1	P1_I1_M1	0.9
UNCX	P1_I1_M1	0.99
SPAG11B	P1_I1_M16	0.98
CA3	P1_I1_M11	0.96
CDK5	P1_I1_M5	0.91
SLC4A2	P1_I1_M8	0.82
SLC7A13	P1_I1_M19	0.91
FMC1	P1_I1_M1	0.85
GBX1	P1_I1_M1	0.97
PHAX	P1_I1_M1	0.84
FOXK1	P1_I1_M1	0.92
BAALC	P1_I1_M5	0.97
DCSTAMP	P1_I1_M1	0.97
INTS8	P1_I1_M2	0.89
KIAA1429	P1_I1_M6	0.9
TMEM67	P1_I1_M1	0.8
WASHC5	P1_I1_M4	0.86
FAM219A	P1_I1_M5	0.96
C9orf24	P1_I1_M17	0.94
SNAPC3	P1_I1_M1	0.91
CCDC171	P1_I1_M3	0.96
DIRAS2	P1_I1_M5	0.98
LETM2	P1_I1_M3	0.96
METTL2B	P1_I1_M1	0.89
PRKACG	P1_I1_M3	0.98
NKX6-3	P1_I1_M29	0.88
PRSS37	P1_I1_M2	0.97
CPA6	P1_I1_M1	0.97
C8orf34	P1_I1_M1	0.81
TMC1	P1_I1_M1	0.99
GKAP1	P1_I1_M2	0.96
KIF27	P1_I1_M2	0.94
HNRNPK	P1_I1_M4	0.81
SSMEM1	P1_I1_M2	0.97
SVEP1	P1_I1_M15	0.98
C7orf34	P1_I1_M3	0.96
ANKS6	P1_I1_M1	0.87
CFAP47	P1_I1_M1	0.97
WBSCR27	P1_I1_M1	0.94
C9orf84	P1_I1_M3	0.98
CXorf58	P1_I1_M1	0.99
KIAA1958	P1_I1_M1	0.89
PTCHD1	P1_I1_M1	0.97
ASB11	P1_I1_M11	0.85
PCDH19	P1_I1_M1	0.95
PIGA	P1_I1_M1	0.94
VEGFD	P1_I1_M28	0.87
OR1Q1	P1_I1_M1	0.99
OR1K1	P1_I1_M1	0.99
GAPVD1	P1_I1_M4	0.81
CARD19	P1_I1_M1	0.91
ATP7A	P1_I1_M1	0.86
NLGN4Y	P1_I1_M1	0.87
HDX	P1_I1_M1	0.99
NOL6	P1_I1_M6	0.86
AQP3	P1_I1_M20	0.88
TRMT10B	P1_I1_M1	0.88
VCP	P1_I1_M4	0.86
PIGO	P1_I1_M8	0.97
BRWD3	P1_I1_M1	0.96
SLITRK5	P1_I1_M1	0.98
MELK	P1_I1_M3	0.84
ARMC3	P1_I1_M17	0.9
FAT3	P1_I1_M1	0.99
DEUP1	P1_I1_M3	0.98
HECTD2	P1_I1_M6	0.81
SLC7A3	P1_I1_M1	0.91
GPR101	P1_I1_M1	0.99
LRFN5	P1_I1_M8	0.9
LRRC18	P1_I1_M3	0.96
WRN	P1_I1_M1	0.85
8-Mar	P1_I1_M2	0.94
TSHR	P1_I1_M22	0.95
GTF2A1	P1_I1_M6	0.87
PGM2L1	P1_I1_M5	0.98
PHYHIPL	P1_I1_M5	0.96
FOLR2	P1_I1_M15	0.82
PHOX2A	P1_I1_M30	0.96
MBL2	P1_I1_M9	0.99
GJB2	P1_I1_M20	0.98
CRYL1	P1_I1_M19	0.81
HEPACAM	P1_I1_M5	0.98
SKA3	P1_I1_M1	0.94
DDIAS	P1_I1_M3	0.95
PCF11	P1_I1_M4	0.86
RPL10L	P1_I1_M2	0.98
LRR1	P1_I1_M3	0.92
DNAAF2	P1_I1_M1	0.91
MAGEC3	P1_I1_M1	0.99
RPUSD4	P1_I1_M11	0.84
TMEM63C	P1_I1_M30	0.87
NGB	P1_I1_M1	0.94
NOXRED1	P1_I1_M1	0.96
AMER2	P1_I1_M5	0.99
AKR1E2	P1_I1_M3	0.98
SSX5	P1_I1_M1	0.99
SSX3	P1_I1_M3	0.99
OTX2	P1_I1_M1	0.99
DRGX	P1_I1_M1	0.95
OXGR1	P1_I1_M1	0.96
UCMA	P1_I1_M1	0.99
ATP5C1	P1_I1_M24	0.89
TAF3	P1_I1_M1	0.91
SOHLH1	P1_I1_M1	0.93
FAM175B	P1_I1_M6	0.92
NSD1	P1_I1_M6	0.86
ENOX2	P1_I1_M6	0.89
GHITM	P1_I1_M24	0.8
CLEC1B	P1_I1_M9	0.81
SNAPC4	P1_I1_M3	0.91
TMEM52B	P1_I1_M19	0.98
FRMD7	P1_I1_M1	0.98
AK8	P1_I1_M17	0.89
TSC1	P1_I1_M6	0.88
GFI1B	P1_I1_M14	0.84
BORCS5	P1_I1_M1	0.97
ZMYND19	P1_I1_M2	0.89
STOX1	P1_I1_M1	0.8
RET	P1_I1_M8	0.91
OR4K2	P1_I1_M1	0.99
FUNDC2	P1_I1_M1	0.95
RNASE7	P1_I1_M20	0.94
NSMF	P1_I1_M5	0.95
C12orf50	P1_I1_M2	0.99
CASP7	P1_I1_M26	0.8
PPP1R36	P1_I1_M2	0.94
VWA2	P1_I1_M1	0.89
METTL3	P1_I1_M6	0.87
SALL2	P1_I1_M8	0.87
PRAP1	P1_I1_M12	0.93
ERICH6B	P1_I1_M1	0.99
CYP2C19	P1_I1_M9	0.93
ZFYVE1	P1_I1_M6	0.89
C10orf82	P1_I1_M2	0.99
HSPA12A	P1_I1_M5	0.89
FRAT1	P1_I1_M1	0.94
UBTD1	P1_I1_M3	0.8
ANKRD2	P1_I1_M11	0.99
E2F7	P1_I1_M1	0.98
OTOGL	P1_I1_M1	0.97
PACSIN3	P1_I1_M11	0.84
TTC7B	P1_I1_M5	0.86
RAPSN	P1_I1_M11	0.82
AGBL2	P1_I1_M3	0.93
CPSF2	P1_I1_M4	0.82
SMCO2	P1_I1_M1	0.99
MOAP1	P1_I1_M5	0.88
IFI27L1	P1_I1_M2	0.91
SERPINA12	P1_I1_M10	0.95
CLMN	P1_I1_M2	0.89
SLC6A5	P1_I1_M1	0.99
CCDC38	P1_I1_M3	0.99
C1QL3	P1_I1_M5	0.94
CEP295	P1_I1_M3	0.89
KCNC2	P1_I1_M5	0.95
TAF1D	P1_I1_M1	0.83
ABTB2	P1_I1_M1	0.84
R3HCC1L	P1_I1_M3	0.89
LIPC	P1_I1_M9	0.98
PASD1	P1_I1_M3	0.98
SPRED1	P1_I1_M22	0.8
TMCO5A	P1_I1_M2	0.99
IL25	P1_I1_M1	0.99
CMTM5	P1_I1_M5	0.99
GLB1L3	P1_I1_M1	0.89
SPATA19	P1_I1_M2	0.98
AMN	P1_I1_M12	0.91
RPUSD2	P1_I1_M1	0.97
HIF1AN	P1_I1_M6	0.83
PPP1R14D	P1_I1_M26	0.86
FBN1	P1_I1_M15	0.81
AVPR1A	P1_I1_M23	0.91
C16orf78	P1_I1_M2	0.98
DEPDC4	P1_I1_M1	0.98
LRTM2	P1_I1_M1	0.97
OPN1MW2	P1_I1_M1	0.99
BRD7	P1_I1_M4	0.89
TRMT61A	P1_I1_M1	0.93
BTRC	P1_I1_M6	0.83
POLL	P1_I1_M4	0.82
BAG5	P1_I1_M2	0.97
LARP6	P1_I1_M5	0.81
API5	P1_I1_M4	0.87
ZNF319	P1_I1_M1	0.88
HPS6	P1_I1_M1	0.9
SENP8	P1_I1_M3	0.98
NOLC1	P1_I1_M4	0.84
ALKBH3	P1_I1_M6	0.83
COPS2	P1_I1_M4	0.81
GABRB3	P1_I1_M5	0.96
TBATA	P1_I1_M3	0.98
FRS2	P1_I1_M6	0.87
CCT2	P1_I1_M2	0.85
ARIH1	P1_I1_M2	0.94
C16orf71	P1_I1_M2	0.96
CLMP	P1_I1_M18	0.8
SCN3B	P1_I1_M5	0.99
ZNF202	P1_I1_M1	0.8
FAM227B	P1_I1_M6	0.86
STXBP4	P1_I1_M1	0.93
CUL5	P1_I1_M6	0.82
MYRFL	P1_I1_M12	0.85
C2	P1_I1_M9	0.86
TMEM100	P1_I1_M28	0.82
SMPD1	P1_I1_M8	0.8
APBB1	P1_I1_M5	0.93
SYNPO2L	P1_I1_M25	0.98
NUDT13	P1_I1_M1	0.98
C11orf65	P1_I1_M2	0.99
TRIM44	P1_I1_M6	0.83
CCDC182	P1_I1_M3	0.98
ILK	P1_I1_M18	0.86
DCHS1	P1_I1_M18	0.8
NETO1	P1_I1_M5	0.98
USP54	P1_I1_M22	0.83
RAG1	P1_I1_M1	0.98
POTED	P1_I1_M1	0.99
WDR88	P1_I1_M1	0.96
OR10A5	P1_I1_M1	0.99
OR2D2	P1_I1_M1	0.99
ATP9B	P1_I1_M6	0.85
PPFIBP2	P1_I1_M8	0.88
MOGAT2	P1_I1_M12	0.96
CYB5R2	P1_I1_M2	0.91
SERPINB7	P1_I1_M10	0.95
LMO1	P1_I1_M1	0.92
CRABP1	P1_I1_M22	0.9
PLD4	P1_I1_M1	0.8
XRRA1	P1_I1_M3	0.94
TRIM66	P1_I1_M1	0.88
RNF169	P1_I1_M1	0.83
RPL27A	P1_I1_M21	0.86
ST5	P1_I1_M18	0.83
TMEM130	P1_I1_M5	0.92
PRTG	P1_I1_M1	0.86
AKIP1	P1_I1_M6	0.8
ATMIN	P1_I1_M8	0.87
C16orf46	P1_I1_M1	0.96
ZNF143	P1_I1_M6	0.85
MAPK7	P1_I1_M1	0.9
RP11-382A20.3	P1_I1_M8	0.85
CLEC4D	P1_I1_M14	0.96
ZSCAN21	P1_I1_M6	0.91
RIMKLB	P1_I1_M4	0.8
A2ML1	P1_I1_M20	0.99
BEAN1	P1_I1_M1	0.99
TK2	P1_I1_M8	0.85
SLC38A8	P1_I1_M1	0.99
CPLX4	P1_I1_M1	0.99
GALR1	P1_I1_M1	0.99
IQCD	P1_I1_M2	0.91
CDH16	P1_I1_M19	0.95
RRAD	P1_I1_M25	0.81
CFAP52	P1_I1_M17	0.98
MC4R	P1_I1_M1	0.98
SERPINB12	P1_I1_M10	1.0
CHRFAM7A	P1_I1_M1	0.98
ATF7IP2	P1_I1_M3	0.94
TVP23A	P1_I1_M1	0.98
TMPRSS5	P1_I1_M1	0.96
COG1	P1_I1_M13	0.91
ZCCHC18	P1_I1_M1	0.98
ZNF592	P1_I1_M1	0.8
CASC4	P1_I1_M13	0.82
HTR3A	P1_I1_M1	0.94
NNMT	P1_I1_M9	0.81
ACSM1	P1_I1_M34	1.0
AP1G1	P1_I1_M8	0.82
CATSPER2	P1_I1_M3	0.97
C16orf45	P1_I1_M5	0.87
SAAL1	P1_I1_M3	0.85
YPEL4	P1_I1_M1	0.86
LDHC	P1_I1_M2	0.96
LDHAL6A	P1_I1_M3	0.97
KIF7	P1_I1_M1	0.98
PLIN1	P1_I1_M34	0.96
MESP1	P1_I1_M1	0.98
ANPEP	P1_I1_M12	0.93
SCNN1G	P1_I1_M19	0.82
ANKDD1A	P1_I1_M1	0.87
GLYATL1	P1_I1_M9	0.93
C18orf54	P1_I1_M3	0.99
TERF2IP	P1_I1_M13	0.89
GPR182	P1_I1_M1	0.92
ZBTB39	P1_I1_M1	0.94
CACNG2	P1_I1_M1	0.91
TAC3	P1_I1_M15	0.97
MYO1A	P1_I1_M12	0.97
CHP2	P1_I1_M12	0.86
OR4D6	P1_I1_M1	0.99
VPS39	P1_I1_M4	0.91
ATP23	P1_I1_M3	0.98
ELFN2	P1_I1_M1	0.81
C15orf48	P1_I1_M26	0.95
NYAP1	P1_I1_M1	0.8
TSC22D4	P1_I1_M5	0.91
MS4A6E	P1_I1_M2	0.97
MS4A14	P1_I1_M2	0.99
MS4A5	P1_I1_M2	0.98
DIS3L	P1_I1_M6	0.95
CCNDBP1	P1_I1_M1	0.97
EPB42	P1_I1_M14	0.96
TGM6	P1_I1_M1	0.99
CCDC178	P1_I1_M3	0.95
MS4A15	P1_I1_M28	0.95
MAP1A	P1_I1_M5	0.98
RCCD1	P1_I1_M1	0.96
MAPRE2	P1_I1_M5	0.83
TCP10L2	P1_I1_M1	0.99
CNPY4	P1_I1_M18	0.81
PDIA3	P1_I1_M22	0.87
NUDT21	P1_I1_M4	0.8
NAT16	P1_I1_M1	0.98
TERB2	P1_I1_M3	0.96
NKX3-1	P1_I1_M27	0.96
SGSM1	P1_I1_M1	0.81
MEI1	P1_I1_M3	0.87
PBX3	P1_I1_M8	0.91
GNGT2	P1_I1_M7	0.88
TTC16	P1_I1_M3	0.95
SUN5	P1_I1_M3	0.96
SAMD14	P1_I1_M1	0.99
PIP5KL1	P1_I1_M1	0.99
BPIFB6	P1_I1_M1	0.99
TMEM92	P1_I1_M12	0.91
ACSF2	P1_I1_M19	0.85
TRUB2	P1_I1_M1	0.96
CERCAM	P1_I1_M5	0.84
CCDC103	P1_I1_M17	0.86
ENDOG	P1_I1_M11	0.87
TBC1D21	P1_I1_M2	0.97
PRRX2	P1_I1_M1	0.89
C15orf39	P1_I1_M2	0.93
SP2	P1_I1_M4	0.86
COQ7	P1_I1_M6	0.86
GPRC5B	P1_I1_M5	0.94
C16orf92	P1_I1_M3	0.98
GOLGA6C	P1_I1_M1	0.96
FBXO22	P1_I1_M1	0.86
NOD2	P1_I1_M1	0.86
SNX20	P1_I1_M7	0.97
LOXHD1	P1_I1_M3	0.94
KATNAL2	P1_I1_M8	0.83
HDHD2	P1_I1_M13	0.86
IGF2	P1_I1_M15	0.96
RNF214	P1_I1_M6	0.93
DPEP2	P1_I1_M7	0.86
DUS2	P1_I1_M3	0.83
RBFOX3	P1_I1_M5	0.83
CD3D	P1_I1_M7	0.86
ART5	P1_I1_M3	0.94
OR51E2	P1_I1_M27	0.94
TRIM68	P1_I1_M6	0.9
OR51I1	P1_I1_M1	0.99
OR51Q1	P1_I1_M1	0.99
PRRT2	P1_I1_M5	0.81
ZNF23	P1_I1_M1	0.87
IRGQ	P1_I1_M1	0.98
ZNF180	P1_I1_M1	0.92
ZNF668	P1_I1_M1	0.97
ZNF646	P1_I1_M3	0.96
GNG8	P1_I1_M30	0.94
LPO	P1_I1_M32	1.0
CA4	P1_I1_M26	0.83
SMG8	P1_I1_M1	0.82
TPM4	P1_I1_M18	0.82
JSRP1	P1_I1_M11	0.98
FAM129C	P1_I1_M7	0.89
KLHL26	P1_I1_M1	0.96
CDT1	P1_I1_M14	0.8
SPATA33	P1_I1_M2	0.97
SGK494	P1_I1_M1	0.95
PROCA1	P1_I1_M2	0.99
RPL13	P1_I1_M21	0.94
ZNF641	P1_I1_M6	0.85
LALBA	P1_I1_M34	0.99
CORO6	P1_I1_M11	0.89
RHEBL1	P1_I1_M1	0.98
ZNF610	P1_I1_M3	0.92
ZNF528	P1_I1_M6	0.9
ZNF701	P1_I1_M1	0.83
NCKAP5L	P1_I1_M1	0.84
PROSER3	P1_I1_M1	0.93
NFKBID	P1_I1_M1	0.93
ANKRD33	P1_I1_M1	0.99
LAIR1	P1_I1_M1	0.96
TTYH1	P1_I1_M5	0.98
CDC42EP5	P1_I1_M1	0.98
LAIR2	P1_I1_M1	0.99
TMEM145	P1_I1_M5	0.93
ZNF526	P1_I1_M1	0.98
TRAPPC9	P1_I1_M8	0.94
KIR3DL1	P1_I1_M1	0.99
NLRP7	P1_I1_M1	0.99
ZNF146	P1_I1_M4	0.85
ZNF283	P1_I1_M1	0.92
PSCA	P1_I1_M29	0.95
ATCAY	P1_I1_M5	0.99
LY6D	P1_I1_M10	0.82
TMIGD2	P1_I1_M1	0.94
CHAF1A	P1_I1_M3	0.82
SEMA6B	P1_I1_M5	0.91
FAM57A	P1_I1_M10	0.96
KIFC2	P1_I1_M10	0.85
RILP	P1_I1_M1	0.92
SERPINF2	P1_I1_M9	0.96
WDR81	P1_I1_M1	0.88
TSR1	P1_I1_M6	0.84
TRPV3	P1_I1_M1	0.97
KLK4	P1_I1_M27	0.97
KLK2	P1_I1_M27	0.96
KLK5	P1_I1_M10	0.95
KLK13	P1_I1_M20	0.98
KRT80	P1_I1_M10	0.95
KRT1	P1_I1_M10	0.92
ACER1	P1_I1_M10	0.99
OTUB1	P1_I1_M13	0.83
RCOR2	P1_I1_M1	0.94
SPRYD3	P1_I1_M13	0.9
ZNF558	P1_I1_M6	0.93
CABP2	P1_I1_M1	0.99
NDUFV1	P1_I1_M24	0.84
TBX10	P1_I1_M1	0.86
OR8J3	P1_I1_M1	0.99
OR5I1	P1_I1_M1	0.99
ZNF232	P1_I1_M1	0.99
CD300C	P1_I1_M1	0.87
CD300A	P1_I1_M7	0.82
TEKT1	P1_I1_M17	0.99
ATP5H	P1_I1_M24	0.9
EVPL	P1_I1_M10	0.91
SRP68	P1_I1_M4	0.9
MGAT5B	P1_I1_M1	0.83
TMC8	P1_I1_M7	0.94
TMEM68	P1_I1_M6	0.8
GSDMA	P1_I1_M10	0.97
TMEM99	P1_I1_M2	0.92
SOST	P1_I1_M1	0.94
PRR25	P1_I1_M1	0.99
ZNF598	P1_I1_M1	0.88
E4F1	P1_I1_M1	0.87
DNASE1L2	P1_I1_M1	0.94
CASKIN1	P1_I1_M1	0.86
ABCA3	P1_I1_M28	0.92
ZNF597	P1_I1_M1	0.99
NLRC3	P1_I1_M1	0.81
SDHAF2	P1_I1_M4	0.86
DDB1	P1_I1_M8	0.87
VWCE	P1_I1_M1	0.96
POLR2G	P1_I1_M4	0.8
SLC3A2	P1_I1_M8	0.88
HRASLS5	P1_I1_M2	0.99
C2CD3	P1_I1_M3	0.87
TTC21A	P1_I1_M3	0.96
RPSA	P1_I1_M21	0.93
ULK4	P1_I1_M3	0.92
SAC3D1	P1_I1_M1	0.96
MAP4K2	P1_I1_M7	0.81
MAJIN	P1_I1_M3	0.95
CCDC88B	P1_I1_M7	0.9
PBK	P1_I1_M2	0.97
COPS6	P1_I1_M4	0.84
PAFAH1B2	P1_I1_M13	0.88
ANKS3	P1_I1_M1	0.95
KIAA1586	P1_I1_M1	0.86
OR1F1	P1_I1_M1	0.99
OR2B2	P1_I1_M1	0.99
KCNJ4	P1_I1_M5	0.91
SETD5	P1_I1_M4	0.91
VASN	P1_I1_M1	0.86
HIST3H3	P1_I1_M1	0.99
THAP9	P1_I1_M1	0.95
OR2C1	P1_I1_M1	0.99
RNF187	P1_I1_M13	0.81
HOOK3	P1_I1_M6	0.8
MAPK1IP1L	P1_I1_M4	0.82
ZCCHC4	P1_I1_M1	0.95
PTGDR	P1_I1_M1	0.92
KCNV2	P1_I1_M1	0.98
PTF1A	P1_I1_M1	0.83
SMIM4	P1_I1_M23	0.87
KIF5C	P1_I1_M5	0.96
BMI1	P1_I1_M4	0.88
PDHB	P1_I1_M24	0.8
HIST1H1E	P1_I1_M14	0.93
PCMTD1	P1_I1_M8	0.83
MPLKIP	P1_I1_M1	0.99
ACOX2	P1_I1_M9	0.88
FAM107A	P1_I1_M5	0.92
MOBP	P1_I1_M5	0.98
CX3CR1	P1_I1_M5	0.94
C8orf22	P1_I1_M11	0.97
XIRP1	P1_I1_M25	0.98
INSM2	P1_I1_M1	0.99
SCN11A	P1_I1_M1	0.98
2-Sep	P1_I1_M4	0.84
FILIP1L	P1_I1_M18	0.88
ING5	P1_I1_M6	0.84
MLKL	P1_I1_M7	0.83
RFWD3	P1_I1_M3	0.81
MTNR1A	P1_I1_M1	0.99
KCNG4	P1_I1_M1	0.99
RHOH	P1_I1_M7	0.89
HR	P1_I1_M10	0.96
TXNDC2	P1_I1_M2	0.98
REEP4	P1_I1_M10	0.84
TNXB	P1_I1_M23	0.95
LGI3	P1_I1_M5	0.92
SFTPC	P1_I1_M28	0.98
ATXN2L	P1_I1_M2	0.81
PHYHIP	P1_I1_M5	0.93
CCDC110	P1_I1_M2	0.98
POLR3D	P1_I1_M3	0.85
MTCL1	P1_I1_M1	0.86
GBX2	P1_I1_M1	0.99
HFE2	P1_I1_M11	0.85
SCGB1D1	P1_I1_M1	0.99
HEXIM2	P1_I1_M2	0.9
FNTA	P1_I1_M4	0.8
MYL1	P1_I1_M11	0.96
TRAPPC11	P1_I1_M6	0.93
GFRA2	P1_I1_M1	0.88
SNRNP48	P1_I1_M1	0.92
CRYGA	P1_I1_M1	0.99
DYNLRB2	P1_I1_M2	0.91
TMUB2	P1_I1_M4	0.9
ADAM29	P1_I1_M2	0.98
ZSWIM1	P1_I1_M1	0.95
ADAM18	P1_I1_M1	0.97
GDNF	P1_I1_M1	0.95
DPCR1	P1_I1_M29	1.0
WFDC13	P1_I1_M16	0.99
VWA3B	P1_I1_M17	0.91
ZNF30	P1_I1_M1	0.99
UGT3A2	P1_I1_M1	0.92
KCTD19	P1_I1_M3	0.96
SLC16A4	P1_I1_M19	0.92
IL7R	P1_I1_M7	0.86
LRP1B	P1_I1_M1	0.88
WFDC12	P1_I1_M10	0.95
AHCYL1	P1_I1_M13	0.85
DNAJC21	P1_I1_M2	0.9
CA7	P1_I1_M26	0.93
FAM178B	P1_I1_M1	0.83
TSPY2	P1_I1_M1	0.93
CNNM3	P1_I1_M8	0.87
GSTM4	P1_I1_M12	0.84
CXXC4	P1_I1_M1	0.97
SHOX2	P1_I1_M1	0.98
PPIP5K1	P1_I1_M8	0.8
CHTF8	P1_I1_M4	0.86
LCMT2	P1_I1_M1	0.87
SNTB2	P1_I1_M8	0.88
IL12A	P1_I1_M1	0.98
ZNF507	P1_I1_M3	0.89
ZBTB49	P1_I1_M1	0.98
OR13J1	P1_I1_M1	0.99
HTR1E	P1_I1_M1	0.98
FSTL5	P1_I1_M1	0.88
ATOH8	P1_I1_M1	0.8
SOX14	P1_I1_M1	0.99
SFTPB	P1_I1_M28	0.99
USP39	P1_I1_M4	0.82
BTNL3	P1_I1_M12	0.98
LRRC28	P1_I1_M2	0.84
PLA2G4F	P1_I1_M10	0.96
ENHO	P1_I1_M5	0.98
INPP5D	P1_I1_M7	0.97
CTRB1	P1_I1_M31	1.0
CTRB2	P1_I1_M31	1.0
TRIM49	P1_I1_M1	0.99
SPRY3	P1_I1_M1	0.99
CEP120	P1_I1_M6	0.86
TM4SF20	P1_I1_M12	0.92
MFF	P1_I1_M2	0.92
JMJD7-PLA2G4B	P1_I1_M1	0.99
CPLX1	P1_I1_M5	0.98
NTSR2	P1_I1_M1	0.8
E2F6	P1_I1_M1	0.97
FEM1B	P1_I1_M2	0.84
ATP5I	P1_I1_M24	0.82
UQCRFS1	P1_I1_M24	0.87
MFSD7	P1_I1_M1	0.86
KLK7	P1_I1_M10	0.97
VCX3A	P1_I1_M3	0.99
UPF3A	P1_I1_M2	0.87
ZBBX	P1_I1_M2	0.89
ACTBL2	P1_I1_M1	0.99
C8orf46	P1_I1_M5	0.98
HSPBAP1	P1_I1_M3	0.92
CSNK1G1	P1_I1_M2	0.98
ARMC4	P1_I1_M3	0.85
ZNF354A	P1_I1_M1	0.8
ATF5	P1_I1_M9	0.89
UBE2V2	P1_I1_M13	0.85
GOT1L1	P1_I1_M3	0.98
GSG1L	P1_I1_M1	0.92
NSMCE1	P1_I1_M4	0.88
CCDC126	P1_I1_M2	0.97
IL13	P1_I1_M3	0.98
OR10G3	P1_I1_M1	0.99
RAB3B	P1_I1_M1	0.86
OR6F1	P1_I1_M1	0.99
CD2BP2	P1_I1_M4	0.86
GCSAML	P1_I1_M1	0.95
SH3TC2	P1_I1_M1	0.97
CXCL11	P1_I1_M1	0.84
HSPB3	P1_I1_M25	1.0
NR0B1	P1_I1_M3	0.82
STK32A	P1_I1_M30	0.9
IL1RAPL1	P1_I1_M1	0.99
P2RY12	P1_I1_M5	0.98
C22orf15	P1_I1_M17	0.93
OR5AU1	P1_I1_M1	0.99
KIAA1024	P1_I1_M30	0.96
PDILT	P1_I1_M3	0.97
UMOD	P1_I1_M19	0.96
GP2	P1_I1_M31	1.0
SLC33A1	P1_I1_M22	0.82
SNUPN	P1_I1_M4	0.83
SIN3A	P1_I1_M4	0.9
ARL13B	P1_I1_M1	0.93
RNASE2	P1_I1_M14	0.9
ELSPBP1	P1_I1_M16	0.98
RNASE3	P1_I1_M14	0.91
PTK2	P1_I1_M13	0.82
RSPH10B2	P1_I1_M3	0.93
PTPN9	P1_I1_M22	0.81
KCNK9	P1_I1_M1	0.98
CXCL8	P1_I1_M14	0.9
SCN9A	P1_I1_M1	0.95
COL22A1	P1_I1_M1	0.94
SDC2	P1_I1_M22	0.86
CD52	P1_I1_M16	0.98
SPRR1B	P1_I1_M20	0.98
SPRR1A	P1_I1_M20	0.97
OR4K14	P1_I1_M1	0.99
OR4K15	P1_I1_M1	0.99
TM2D2	P1_I1_M4	0.85
HTRA4	P1_I1_M15	0.98
CLIC4	P1_I1_M18	0.85
GPR183	P1_I1_M7	0.81
CRCT1	P1_I1_M10	0.83
METTL15	P1_I1_M1	0.87
ZNF280A	P1_I1_M1	0.99
MUC15	P1_I1_M16	0.98
CT55	P1_I1_M1	0.98
GJB1	P1_I1_M9	0.87
DTWD2	P1_I1_M1	0.83
INO80E	P1_I1_M4	0.86
BNC1	P1_I1_M2	0.93
DFFB	P1_I1_M1	0.99
GKN1	P1_I1_M29	0.98
CKAP2L	P1_I1_M3	0.87
PROKR1	P1_I1_M1	0.98
APLF	P1_I1_M1	0.99
RGPD8	P1_I1_M3	0.98
HIC2	P1_I1_M1	0.96
